filePath,mediaID,startTime,endTime,speciesName,confidence,classifiedBy,recorderID,recorderModel,locality,projectName,municipality,latitude,longitude,setupBy,deploymentStart,deploymentEnd,deploymentGroups,timestamp,segmentID,logit_group
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250611_083500.wav,2MM05070_20250611_083500.wav,3,6,Dysithamnus occidentalis,0.3892,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-11 08:35:00,1161671_2MM05070_20250611_083500.wav,4
D:/Despliegue4/Punto_11_202506_CA11/2MM05078_20250603_061000.wav,2MM05078_20250603_061000.wav,42,45,Dysithamnus occidentalis,0.4821,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-06-01,2025-06-15,Despliegue4,2025-06-03 06:10:00,862773_2MM05078_20250603_061000.wav,4
D:/Despliegue3/Punto_14_202503_CA22/2MM05001_20250306_094000.wav,2MM05001_20250306_094000.wav,9,12,Dysithamnus occidentalis,0.3726,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-03-04,2025-03-30,Despliegue3,2025-03-06 09:40:00,467982_2MM05001_20250306_094000.wav,4
D:/Despliegue3/Punto_15_202503_CA23/2MM05319_20250316_140000.wav,2MM05319_20250316_140000.wav,30,33,Dysithamnus occidentalis,0.4335,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-03-04,2025-03-31,Despliegue3,2025-03-16 14:00:00,515632_2MM05319_20250316_140000.wav,4
D:/Despliegue2/Punto_5_202501_CA18/2MM05070_20250129_101500.wav,2MM05070_20250129_101500.wav,30,33,Dysithamnus occidentalis,0.4856,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-29 10:15:00,282648_2MM05070_20250129_101500.wav,4
D:/Despliegue3/Punto_14_202503_CA22/2MM05001_20250306_150000.wav,2MM05001_20250306_150000.wav,21,24,Dysithamnus occidentalis,0.5077,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-03-04,2025-03-30,Despliegue3,2025-03-06 15:00:00,468434_2MM05001_20250306_150000.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250607_085000.wav,2MM05070_20250607_085000.wav,24,27,Dysithamnus occidentalis,0.4018,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-07 08:50:00,1158015_2MM05070_20250607_085000.wav,4
D:/Despliegue2/Punto_14_202502_CA22/2MM05001_20250211_114500.wav,2MM05001_20250211_114500.wav,0,3,Dysithamnus occidentalis,0.4177,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-02-01,2025-02-12,Despliegue2,2025-02-11 11:45:00,131454_2MM05001_20250211_114500.wav,4
D:/Despliegue5/Punto_5_202508_CA18/2MM05070_20250818_103500.wav,2MM05070_20250818_103500.wav,57,60,Dysithamnus occidentalis,0.5788,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-08-09,2025-08-28,Despliegue5,2025-08-18 10:35:00,1394962_2MM05070_20250818_103500.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250606_114000.wav,2MM05070_20250606_114000.wav,6,9,Dysithamnus occidentalis,0.52,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-06 11:40:00,1157056_2MM05070_20250606_114000.wav,4
D:/Despliegue2/Punto_15_202502_CA23/2MM05319_20250209_104000.wav,2MM05319_20250209_104000.wav,21,24,Dysithamnus occidentalis,0.4362,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-02-01,2025-02-14,Despliegue2,2025-02-09 10:40:00,161445_2MM05319_20250209_104000.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250606_114000.wav,2MM05070_20250606_114000.wav,3,6,Dysithamnus occidentalis,0.3954,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-06 11:40:00,1157055_2MM05070_20250606_114000.wav,4
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250607_085000.wav,2MM05070_20250607_085000.wav,21,24,Dysithamnus occidentalis,0.2938,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-07 08:50:00,1158014_2MM05070_20250607_085000.wav,3
D:/Despliegue2/Punto_15_202502_CA23/2MM05319_20250201_073000.wav,2MM05319_20250201_073000.wav,24,27,Dysithamnus occidentalis,0.3195,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-02-01,2025-02-14,Despliegue2,2025-02-01 07:30:00,152333_2MM05319_20250201_073000.wav,3
D:/Despliegue4/Punto_16_202505_CA24/2MM05373_20250530_074500.wav,2MM05373_20250530_074500.wav,0,3,Dysithamnus occidentalis,0.2913,,2MM05373,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30764,-78.11005,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-30 07:45:00,1032430_2MM05373_20250530_074500.wav,3
D:/Despliegue4/Punto_13_202505_CA20/2MM05255_20250523_165000.wav,2MM05255_20250523_165000.wav,6,9,Dysithamnus occidentalis,0.337,,2MM05255,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30516,-78.1109,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-23 16:50:00,931745_2MM05255_20250523_165000.wav,3
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250611_101500.wav,2MM05070_20250611_101500.wav,27,30,Dysithamnus occidentalis,0.354,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-11 10:15:00,1161879_2MM05070_20250611_101500.wav,3
D:/Despliegue3/Punto_5_202503_CA18/2MM05070_20250325_083000.wav,2MM05070_20250325_083000.wav,12,15,Dysithamnus occidentalis,0.274,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-25 08:30:00,703382_2MM05070_20250325_083000.wav,3
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250611_102000.wav,2MM05070_20250611_102000.wav,27,30,Dysithamnus occidentalis,0.3107,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-11 10:20:00,1161891_2MM05070_20250611_102000.wav,3
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250603_120000.wav,2MM05070_20250603_120000.wav,18,21,Dysithamnus occidentalis,0.3008,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-03 12:00:00,1153732_2MM05070_20250603_120000.wav,3
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250603_095000.wav,2MM05070_20250603_095000.wav,30,33,Dysithamnus occidentalis,0.3524,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-03 09:50:00,1153641_2MM05070_20250603_095000.wav,3
D:/Despliegue4/Punto_6_202505_CA19/2MM05041_20250528_121500.wav,2MM05041_20250528_121500.wav,51,54,Dysithamnus occidentalis,0.2882,,2MM05041,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28463,-78.08236,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-28 12:15:00,1188766_2MM05041_20250528_121500.wav,3
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250611_083500.wav,2MM05070_20250611_083500.wav,21,24,Dysithamnus occidentalis,0.2964,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-11 08:35:00,1161675_2MM05070_20250611_083500.wav,3
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250611_101500.wav,2MM05070_20250611_101500.wav,0,3,Dysithamnus occidentalis,0.3311,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-11 10:15:00,1161872_2MM05070_20250611_101500.wav,3
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250601_075000.wav,2MM05070_20250601_075000.wav,30,33,Dysithamnus occidentalis,0.2271,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-01 07:50:00,1151169_2MM05070_20250601_075000.wav,2
D:/Despliegue5/Punto_5_202508_CA18/2MM05070_20250818_103500.wav,2MM05070_20250818_103500.wav,30,33,Dysithamnus occidentalis,0.1965,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-08-09,2025-08-28,Despliegue5,2025-08-18 10:35:00,1394960_2MM05070_20250818_103500.wav,2
D:/Despliegue3/Punto_11_202503_CA11/2MM05078_20250315_080000.wav,2MM05078_20250315_080000.wav,24,27,Dysithamnus occidentalis,0.2649,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-03-04,2025-03-22,Despliegue3,2025-03-15 08:00:00,432548_2MM05078_20250315_080000.wav,2
D:/Despliegue4/Punto_11_202505_CA11/2MM05078_20250524_121500.wav,2MM05078_20250524_121500.wav,30,33,Dysithamnus occidentalis,0.2192,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-24 12:15:00,852390_2MM05078_20250524_121500.wav,2
D:/Despliegue5/Punto_5_202508_CA18/2MM05070_20250819_122500.wav,2MM05070_20250819_122500.wav,48,51,Dysithamnus occidentalis,0.1968,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-08-09,2025-08-28,Despliegue5,2025-08-19 12:25:00,1396078_2MM05070_20250819_122500.wav,2
D:/Despliegue3/Punto_4_202504_CA15/2MM04976_20250401_102000.wav,2MM04976_20250401_102000.wav,54,57,Dysithamnus occidentalis,0.1906,,2MM04976,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28659,-78.07804,FELCA & Audubon LAC,2025-04-01,2025-04-02,Despliegue3,2025-04-01 10:20:00,675678_2MM04976_20250401_102000.wav,2
D:/Despliegue3/Punto_5_202503_CA18/2MM05070_20250318_131500.wav,2MM05070_20250318_131500.wav,51,54,Dysithamnus occidentalis,0.2421,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-18 13:15:00,695278_2MM05070_20250318_131500.wav,2
D:/Despliegue3/Punto_4_202504_CA15/2MM04976_20250401_102000.wav,2MM04976_20250401_102000.wav,48,51,Dysithamnus occidentalis,0.2235,,2MM04976,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28659,-78.07804,FELCA & Audubon LAC,2025-04-01,2025-04-02,Despliegue3,2025-04-01 10:20:00,675677_2MM04976_20250401_102000.wav,2
D:/Despliegue3/Punto_14_202503_CA22/2MM05001_20250306_094000.wav,2MM05001_20250306_094000.wav,21,24,Dysithamnus occidentalis,0.2129,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-03-04,2025-03-30,Despliegue3,2025-03-06 09:40:00,467983_2MM05001_20250306_094000.wav,2
D:/Despliegue2/Punto_15_202502_CA23/2MM05319_20250208_073500.wav,2MM05319_20250208_073500.wav,54,57,Dysithamnus occidentalis,0.2305,,2MM05319,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.30789,-78.11177,FELCA & Audubon LAC,2025-02-01,2025-02-14,Despliegue2,2025-02-08 07:35:00,159968_2MM05319_20250208_073500.wav,2
D:/Despliegue5/Punto_5_202508_CA18/2MM05070_20250818_103500.wav,2MM05070_20250818_103500.wav,51,54,Dysithamnus occidentalis,0.1971,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-08-09,2025-08-28,Despliegue5,2025-08-18 10:35:00,1394961_2MM05070_20250818_103500.wav,2
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250607_082500.wav,2MM05070_20250607_082500.wav,12,15,Dysithamnus occidentalis,0.1912,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-07 08:25:00,1157973_2MM05070_20250607_082500.wav,2
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250604_082500.wav,2MM05070_20250604_082500.wav,54,57,Dysithamnus occidentalis,0.1278,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-04 08:25:00,1154677_2MM05070_20250604_082500.wav,1
D:/Despliegue3/Punto_14_202503_CA22/2MM05001_20250322_163000.wav,2MM05001_20250322_163000.wav,6,9,Dysithamnus occidentalis,0.1622,,2MM05001,SongMeter Micro 2,Bangsias,Nambi,Barbacoas,1.3067,-78.11235,FELCA & Audubon LAC,2025-03-04,2025-03-30,Despliegue3,2025-03-22 16:30:00,491696_2MM05001_20250322_163000.wav,1
D:/Despliegue2/Punto_11_202501_CA11/2MM05078_20250127_135500.wav,2MM05078_20250127_135500.wav,54,57,Dysithamnus occidentalis,0.1175,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-01-10,2025-01-31,Despliegue2,2025-01-27 13:55:00,40139_2MM05078_20250127_135500.wav,1
D:/Despliegue4/Punto_5_202505_CA18/2MM05070_20250529_075500.wav,2MM05070_20250529_075500.wav,6,9,Dysithamnus occidentalis,0.1182,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-29 07:55:00,1148649_2MM05070_20250529_075500.wav,1
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250607_085000.wav,2MM05070_20250607_085000.wav,27,30,Dysithamnus occidentalis,0.1693,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-07 08:50:00,1158016_2MM05070_20250607_085000.wav,1
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250611_102000.wav,2MM05070_20250611_102000.wav,39,42,Dysithamnus occidentalis,0.1485,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-11 10:20:00,1161892_2MM05070_20250611_102000.wav,1
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250605_080500.wav,2MM05070_20250605_080500.wav,18,21,Dysithamnus occidentalis,0.1714,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-05 08:05:00,1155692_2MM05070_20250605_080500.wav,1
D:/Despliegue3/Punto_5_202503_CA18/2MM05070_20250310_083500.wav,2MM05070_20250310_083500.wav,51,54,Dysithamnus occidentalis,0.1405,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-03-03,2025-03-31,Despliegue3,2025-03-10 08:35:00,684396_2MM05070_20250310_083500.wav,1
D:/Despliegue4/Punto_11_202505_CA11/2MM05078_20250529_144000.wav,2MM05078_20250529_144000.wav,27,30,Dysithamnus occidentalis,0.1611,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-29 14:40:00,857458_2MM05078_20250529_144000.wav,1
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250607_085000.wav,2MM05070_20250607_085000.wav,36,39,Dysithamnus occidentalis,0.1109,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-07 08:50:00,1158017_2MM05070_20250607_085000.wav,1
D:/Despliegue4/Punto_5_202506_CA18/2MM05070_20250614_090500.wav,2MM05070_20250614_090500.wav,15,18,Dysithamnus occidentalis,0.121,,2MM05070,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28569,-78.07981,FELCA & Audubon LAC,2025-06-01,2025-06-18,Despliegue4,2025-06-14 09:05:00,1164199_2MM05070_20250614_090500.wav,1
D:/Despliegue4/Punto_11_202505_CA11/2MM05078_20250528_055000.wav,2MM05078_20250528_055000.wav,57,60,Dysithamnus occidentalis,0.1723,,2MM05078,SongMeter Micro 2,RN Nambi,Nambi,Barbacoas,1.28786,-78.08984,FELCA & Audubon LAC,2025-05-15,2025-05-31,Despliegue4,2025-05-28 05:50:00,856213_2MM05078_20250528_055000.wav,1
